2.9257942044873255;0.0	4.468809088429675;0.0	4.284694738932364;0.0	4.273410914120504;0.0	4.035711464672435;0.0	
3.9969035687767285;0.0	4.137156456392751;0.0	3.8343560227483713;0.0	4.210524785603403;0.0	4.034459883851576;0.0	
3.8514086350130383;0.0	6.560645959688776;0.0	6.747929622734101;0.0	7.719403474649808;0.0	7.391259771562853;0.0	
4.788387150366193;0.0	5.50417172565157;0.0	5.725713292572183;0.0	6.15798528487757;0.0	5.79757131062954;0.0	
6.055372089204235;0.0	6.245306697384949;0.0	7.116390840123269;0.0	7.08821122229701;0.0	6.874888035054145;0.0	
4.531450239849125;0.0	6.126793355211245;0.0	6.2944333823232155;0.0	6.341520471415519;0.0	6.587764277098674;0.0	
4.267573906304391;0.0	4.95142102971413;0.0	5.303652860946902;0.0	5.314618834444093;0.0	5.578700143262205;0.0	
5.947100818102425;0.0	6.728757555399506;0.0	6.927397208805364;0.0	7.204780115134512;0.0	7.494125568692035;0.0	
5.692299535283928;0.0	5.474207123015961;0.0	5.534397788681353;0.0	5.751831586243461;0.0	6.17993464160205;0.0	
5.86656433088302;0.0	5.438684468314097;0.0	6.802978487008342;0.0	7.197696850290189;0.0	6.615969699028198;0.0	
5.958454795985144;0.0	6.072932765351291;0.0	6.769062280328411;0.0	6.534185565705783;0.0	6.83190991396675;0.0	
4.289246019179817;0.0	4.617682935922073;0.0	4.668586613510453;0.0	5.058845430016026;0.0	5.232787553899924;0.0	
5.118117259930449;0.0	6.840529743473559;0.0	7.151735719071516;0.0	7.021145443352507;0.0	6.457167061911518;0.0	
4.747077106223054;0.0	5.626708637533575;0.0	5.277910813225002;0.0	6.174174279131821;0.0	5.643875291470496;0.0	
3.8901606332819516;0.0	4.4489298116656215;0.0	4.685474414104107;0.0	5.640657212527942;0.0	5.166616138543604;0.0	
5.4545697975512395;0.0	6.044742938729073;0.0	6.107261232247682;0.0	6.621992130383161;0.0	5.942901499076982;0.0	
6.040440784655776;0.0	7.450771695896591;0.0	5.368783183900334;0.0	6.856114995673532;0.0	5.375921651436657;0.0	
6.721024572511424;0.0	6.497876616497372;0.0	6.34838722883921;0.0	6.465310963056209;0.0	5.190559113037618;0.0	
6.613347202020676;0.0	7.3860843208400055;0.0	7.222958713818897;0.0	7.699320201452235;0.0	7.184488834113092;0.0	
6.779220927368219;0.0	7.428636798487461;0.0	6.959111941908827;0.0	7.393689911285672;0.0	6.6714203316546525;0.0	
6.078221183406791;0.0	7.167932261273388;0.0	6.586979631517837;0.0	6.878274568389528;0.0	5.855626433726208;0.0	
5.287321961747503;0.0	5.879436967372332;0.0	5.739480554444425;0.0	5.782576698059254;0.0	5.200586882103723;0.0	
5.3074373080643005;0.0	6.117537578926127;0.0	5.015530271125847;0.0	4.832285805253164;0.0	4.554669964064926;0.0	
4.281139997768399;0.0	8.505773556540117;0.0	6.877485952000902;0.0	7.31813251139994;0.0	6.447092622388308;0.0	
5.664269645022407;0.0	8.2389693498448;0.0	6.828601843786808;0.0	8.0425829983581;0.0	6.722085030102666;0.0	
5.807633382520653;0.0	7.947003710327496;0.0	6.7097128863801405;0.0	8.701438269230025;0.0	7.190340633075624;0.0	
5.543359539954685;0.0	6.2218273274898666;0.0	6.136734723668802;0.0	7.0181709269190256;0.0	6.265648546553145;0.0	
5.269171424489969;0.0	4.961435508585575;0.0	5.449260929976814;0.0	5.405590455542547;0.0	5.069681950779355;0.0	
2.753499534247029;0.0	4.8867533943502375;0.0	4.740598784771571;0.0	4.984116416120385;0.0	5.944273215562869;0.0	
5.866229121192188;0.0	7.8775684812649;0.0	7.396510507538454;0.0	7.44161565096273;0.0	7.073486960243165;0.0	
6.524622880565956;0.0	8.666743947750199;0.0	8.020593224668493;0.0	8.16846164294077;0.0	7.799988221107852;0.0	
7.24901582979526;0.0	7.211640768173734;0.0	6.220994936638721;0.0	7.175123937438682;0.0	7.05041614179213;0.0	
6.548048181633386;0.0	6.192057439324885;0.0	6.853071333932244;0.0	6.538735095280636;0.0	6.002116057170629;0.0	
3.0663531435690987;0.0	4.5565515378130454;0.0	4.607560195198411;0.0	4.781149392101766;0.0	4.9495857399825605;0.0	
6.180676100187884;0.0	6.417347018986429;0.0	6.9029316546720505;0.0	7.77010894020519;0.0	6.670824792464733;0.0	
5.481650521456622;0.0	8.174967912177316;0.0	7.56709168995477;0.0	7.002947015559451;0.0	6.738264858996347;0.0	
5.6286878697454865;0.0	8.655938801215935;0.0	7.640336263487694;0.0	7.180719450002028;0.0	6.460595143194163;0.0	
5.980734660179465;0.0	7.463257568753917;0.0	6.660935978350199;0.0	7.025676204248907;0.0	6.380712099870053;0.0	
5.025387296523103;0.0	7.016412992783443;0.0	8.060563646130106;0.0	6.837897240380483;0.0	6.8166500412839115;0.0	
4.221074668567395;0.0	7.221297780307338;0.0	7.377141793485158;0.0	7.073411907085708;0.0	6.402031051914204;0.0	
8.310257431601174;0.0	10.128612978788313;0.0	11.243754596100306;0.0	10.893492024167788;0.0	9.85435445338851;0.0	
6.84871682717312;0.0	9.371705335589517;0.0	11.450508717054527;0.0	11.87355461076419;0.0	10.403190628722362;0.0	
5.52427403737585;0.0	9.847197059553865;0.0	11.208102846728378;0.0	11.99684340075304;0.0	10.870055477395187;0.0	
7.226895675688479;0.0	9.783503735334815;0.0	11.108399709274195;0.0	11.55253358251161;0.0	10.48143110986975;0.0	
7.681523594096522;0.0	9.84166496260098;0.0	11.332135297601283;0.0	11.014449671211203;0.0	10.280241219011087;0.0	
